SUIVI DES INTERVENTIONS                                                                                                                                           ;;;;;;;;;;;;
N°;Prestataires;Type intervention;Mois;Année;Date début;Heure début;Date de fin;Heure de fin;Durée;Site;Travaux;Prochaine intervention
39;AWALE;depannage;Fevrier;2025; 14/02/2025;08:47; 14/02/2025;10:20;06:02;HYPER U 2 PLATEAUX,CAMA,CI DOKUI;Probleme d'electricité awale;
40;AWALE;depannage;mai;2025; 17/05/2025;09:57; 17/05/2025;13:00;02:58;SUPRETTE BOUAKE;Jarretière optique défectueuse;
41;AWALE;depannage;Fevrier;2026; 04/03/2026;09:57; 05/03/2026;13:00;23:57;S2P GAGNOA;Coupure de Fibre ;
42;AWALE;depannage;Fevrier;2026; 04/03/2026;11:41; 04/03/2026;20:30;08:30;PRIMA;Coupure de Fibre ;
43;AWALE;depannage;Fevrier;2026; 08/03/2026;10:57; 08/03/2026;18:25;07:25;GIFI Z4,OENO Z4;Coupure de Fibre ;
44;AWALE;depannage;Mars;2026;15/03/2026;07:18;         15/03/2026;14:35;07:17;Cash Ivoire Annaneraie;Coupure de Fibre ;
45;ARIC;Planifiée;Fevrier;2026;17/03/2026;09:34;17/03/2026;13:30;03:56;Salle serveur SAPRIM;Remplacement des 3 moteurs EC sur l'armoire B de la salle serveur / Mise en service et suivi (Defaut BP sur Equipement.;
46;;;;;;;;;00:00;;;
47;;;;;;;;;00:00;;;
48;;;;;;;;;00:00;;;
49;;;;;;;;;00:00;;;
50;;;;;;;;;00:00;;;
51;;;;;;;;;00:00;;;
52;;;;;;;;;00:00;;;
53;;;;;;;;;00:00;;;
54;;;;;;;;;00:00;;;
55;;;;;;;;;00:00;;;
56;;;;;;;;;00:00;;;
57;;;;;;;;;00:00;;;
58;;;;;;;;;00:00;;;
59;;;;;;;;;00:00;;;
60;;;;;;;;;00:00;;;
61;;;;;;;;;00:00;;;
62;;;;;;;;;00:00;;;
63;;;;;;;;;00:00;;;
64;;;;;;;;;00:00;;;
65;;;;;;;;;00:00;;;
66;;;;;;;;;00:00;;;
67;;;;;;;;;00:00;;;
68;;;;;;;;;00:00;;;
69;;;;;;;;;00:00;;;
70;;;;;;;;;00:00;;;
71;;;;;;;;;00:00;;;
72;;;;;;;;;00:00;;;
73;;;;;;;;;00:00;;;
74;;;;;;;;;00:00;;;
75;;;;;;;;;00:00;;;
76;;;;;;;;;00:00;;;
77;;;;;;;;;00:00;;;
78;;;;;;;;;00:00;;;
79;;;;;;;;;00:00;;;
80;;;;;;;;;00:00;;;
81;;;;;;;;;00:00;;;
82;;;;;;;;;00:00;;;
83;;;;;;;;;00:00;;;
84;;;;;;;;;00:00;;;
85;;;;;;;;;00:00;;;
86;;;;;;;;;00:00;;;
87;;;;;;;;;00:00;;;
